Frame,Velocity (km/h),Timestamp (s)
74,474.98,1746835603.654
74,37.16,1746835603.654
74,6.66,1746835603.654
74,10.05,1746835603.654
75,10.79,1746835603.816
75,46.25,1746835603.816
75,890.4,1746835603.816
75,28.25,1746835603.816
75,266.67,1746835603.816
75,207.74,1746835603.816
75,868.71,1746835603.816
75,715.42,1746835603.816
76,4.61,1746835603.992
76,4.83,1746835603.992
76,69.84,1746835603.992
76,794.01,1746835603.992
76,16.38,1746835603.992
76,46.66,1746835603.992
76,4.83,1746835603.992
76,67.77,1746835603.992
76,881.84,1746835603.992
76,127.41,1746835603.992
77,1.63,1746835604.138
77,74.59,1746835604.138
77,4.71,1746835604.138
77,680.81,1746835604.138
77,649.68,1746835604.138
77,159.52,1746835604.138
77,10.68,1746835604.138
77,1.99,1746835604.138
77,60.54,1746835604.138
77,60.08,1746835604.138
77,188.66,1746835604.138
78,16.04,1746835604.304
78,5.17,1746835604.304
78,159.31,1746835604.304
78,10.97,1746835604.304
78,559.71,1746835604.304
78,52.12,1746835604.304
78,414.41,1746835604.304
78,1.57,1746835604.304
78,109.6,1746835604.304
78,820.63,1746835604.304
78,8.08,1746835604.304
79,11.54,1746835604.459
79,2.11,1746835604.459
79,9.17,1746835604.459
79,11.54,1746835604.459
79,29.11,1746835604.459
79,15.69,1746835604.459
79,7.12,1746835604.459
79,1061.09,1746835604.459
79,167.95,1746835604.459
79,376.78,1746835604.459
79,848.33,1746835604.459
79,53.07,1746835604.459
80,5.44,1746835604.61
80,1.58,1746835604.61
80,9.73,1746835604.61
80,591.42,1746835604.61
80,767.8,1746835604.61
80,172.17,1746835604.61
80,758.28,1746835604.61
80,1150.17,1746835604.61
80,78.19,1746835604.61
80,251.51,1746835604.61
80,109.48,1746835604.61
80,216.19,1746835604.61
80,2.34,1746835604.61
80,76.91,1746835604.61
81,1.14,1746835604.756
81,471.35,1746835604.756
81,605.92,1746835604.756
81,168.32,1746835604.756
81,806.7,1746835604.756
81,288.99,1746835604.756
81,6.81,1746835604.756
81,1083.24,1746835604.756
81,1.69,1746835604.756
81,251.96,1746835604.756
82,17.52,1746835604.912
82,589.96,1746835604.912
82,148.19,1746835604.912
82,393.57,1746835604.912
82,786.97,1746835604.912
82,765.66,1746835604.912
82,11.68,1746835604.912
82,105.76,1746835604.912
82,8.02,1746835604.912
82,33.93,1746835604.912
83,5.96,1746835605.064
83,7.18,1746835605.064
83,500.84,1746835605.064
83,163.25,1746835605.064
83,414.23,1746835605.064
83,28.29,1746835605.064
83,967.57,1746835605.064
83,59.81,1746835605.064
83,998.74,1746835605.064
83,11.41,1746835605.064
83,58.08,1746835605.064
83,315.54,1746835605.064
83,26.14,1746835605.064
84,7.6,1746835605.219
84,1.65,1746835605.219
84,28.24,1746835605.219
84,93.61,1746835605.219
84,154.31,1746835605.219
84,10.99,1746835605.219
84,926.16,1746835605.219
84,662.83,1746835605.219
84,292.91,1746835605.219
84,687.04,1746835605.219
84,79.34,1746835605.219
84,46.78,1746835605.219
84,719.24,1746835605.219
85,2.94,1746835605.367
85,4.94,1746835605.367
85,59.59,1746835605.367
85,104.18,1746835605.367
85,101.84,1746835605.367
85,844.99,1746835605.367
85,823.45,1746835605.367
85,2.2,1746835605.367
85,8.18,1746835605.367
85,12.64,1746835605.367
85,113.99,1746835605.367
85,21.9,1746835605.367
85,1028.09,1746835605.367
85,180.11,1746835605.367
86,1.13,1746835605.52
86,4.38,1746835605.52
86,27.74,1746835605.52
86,10.86,1746835605.52
86,634.34,1746835605.52
86,45.66,1746835605.52
86,423.48,1746835605.52
86,237.0,1746835605.52
86,60.69,1746835605.52
86,77.3,1746835605.52
86,24.87,1746835605.52
87,5.77,1746835605.671
87,2.7,1746835605.671
87,6.84,1746835605.671
87,1.39,1746835605.671
87,191.33,1746835605.671
87,1.95,1746835605.671
87,711.13,1746835605.671
87,260.53,1746835605.671
87,755.63,1746835605.671
87,26.68,1746835605.671
87,18.63,1746835605.671
87,9.25,1746835605.671
88,9.29,1746835605.827
88,5.46,1746835605.827
88,9.56,1746835605.827
88,276.73,1746835605.827
88,272.13,1746835605.827
88,94.31,1746835605.827
88,567.12,1746835605.827
88,69.82,1746835605.827
88,730.32,1746835605.827
88,16.06,1746835605.827
88,7.02,1746835605.827
88,922.58,1746835605.827
88,316.32,1746835605.827
89,2.93,1746835605.975
89,3.53,1746835605.975
89,289.5,1746835605.975
89,280.18,1746835605.975
89,31.31,1746835605.975
89,595.42,1746835605.975
89,10.04,1746835605.975
89,295.09,1746835605.975
89,1.06,1746835605.975
89,22.71,1746835605.975
89,39.57,1746835605.975
90,1.25,1746835606.128
90,817.78,1746835606.128
90,814.57,1746835606.128
90,3.84,1746835606.128
90,14.66,1746835606.128
90,9.05,1746835606.128
90,19.74,1746835606.128
90,18.85,1746835606.128
90,15.18,1746835606.128
90,331.32,1746835606.128
90,13.43,1746835606.128
90,498.85,1746835606.128
91,4.98,1746835606.28
91,50.27,1746835606.28
91,1.41,1746835606.28
91,9.43,1746835606.28
91,538.92,1746835606.28
91,5.83,1746835606.28
91,702.96,1746835606.28
91,6.33,1746835606.28
91,137.11,1746835606.28
91,6.34,1746835606.28
91,50.69,1746835606.28
91,32.17,1746835606.28
92,262.03,1746835606.429
92,596.19,1746835606.429
92,910.2,1746835606.429
92,6.83,1746835606.429
92,12.47,1746835606.429
92,4.14,1746835606.429
92,596.66,1746835606.429
92,45.74,1746835606.429
